Model,Parameters,Test Accuracy (mean),Test Accuracy (std),ROC-AUC (mean),ROC-AUC (std)
LayerNorm,12898,0.9225806451612903,0.06642342026443226,0.937037037037037,0.06097065790057159
Residual,44098,0.9159139784946237,0.06148018131974939,0.9101851851851851,0.07879080147964744
Minimal (32),642,0.8966666666666665,0.05344951358944548,0.9425925925925925,0.0409506377546222
Simple (64-32),3362,0.8901075268817203,0.05967073487701568,0.9416666666666667,0.05254986527282487
Standard (128-64-32),12898,0.8868817204301074,0.0925441087847283,0.9296296296296296,0.06296296296296297
ELU Activation,12898,0.8836559139784945,0.06304010472725746,0.9388888888888889,0.05338346409407252
Deep (5 layers),18434,0.8609677419354839,0.13372475497697664,0.9305555555555556,0.0653745670670513
