Model,Parameters,Test Accuracy (mean),Test Accuracy (std),ROC-AUC (mean),ROC-AUC (std)
LayerNorm,12898,0.9160761501850873,0.042467169224135286,0.9351851851851851,0.04804565301525779
Residual,44098,0.9127445795875199,0.03302780762448779,0.8965608465608466,0.042636114344645364
Standard (128-64-32),12898,0.8965626652564781,0.021505130715568362,0.9421296296296295,0.037923421141245174
Simple (64-32),3362,0.8901639344262294,0.04107565446585026,0.9344576719576718,0.03644497964782243
ELU Activation,12898,0.8804336329984135,0.03286330460562873,0.9401455026455027,0.03708424806581002
Minimal (32),642,0.8772607086197779,0.03999835841280679,0.9410714285714287,0.037266273764221
Deep (5 layers),18434,0.8480698043363301,0.04239137271348841,0.9327380952380953,0.044630166724593474
