layer,shape,num_params,mean,std,min,max
gru.weight_ih_l0,"(96, 1)",96,-0.004276616498827934,0.13777436316013336,-0.2613392770290375,0.26544010639190674
gru.weight_hh_l0,"(96, 32)",3072,-0.001844337792135775,0.12294667214155197,-0.30982881784439087,0.31509119272232056
gru.bias_ih_l0,"(96,)",96,0.02053258940577507,0.11318903416395187,-0.22277580201625824,0.2591760754585266
gru.bias_hh_l0,"(96,)",96,0.004725445061922073,0.11229129880666733,-0.2313108891248703,0.2431601881980896
fc.weight,"(2, 32)",64,-0.0007904404774308205,0.16806967556476593,-0.28686702251434326,0.2788761854171753
fc.bias,"(2,)",2,0.08990924060344696,0.024246837943792343,0.06566240638494492,0.1141560822725296
