layer,shape,num_params,mean,std,min,max
gru.weight_ih_l0,"(384, 1)",384,0.005734216887503862,0.06353913992643356,-0.12062115967273712,0.1745554357767105
gru.weight_hh_l0,"(384, 128)",49152,-0.0004558936634566635,0.054637372493743896,-0.1785457283258438,0.18041402101516724
gru.bias_ih_l0,"(384,)",384,0.0035022508818656206,0.05266076698899269,-0.12490967661142349,0.1261650174856186
gru.bias_hh_l0,"(384,)",384,0.008110580034554005,0.05359431356191635,-0.11222060024738312,0.16451118886470795
gru.weight_ih_l1,"(384, 128)",49152,0.00047980088857002556,0.0563865564763546,-0.25580132007598877,0.25891047716140747
gru.weight_hh_l1,"(384, 128)",49152,-6.093554475228302e-05,0.055550411343574524,-0.24245263636112213,0.20368902385234833
gru.bias_ih_l1,"(384,)",384,0.006354488432407379,0.0529036819934845,-0.10833262652158737,0.13203293085098267
gru.bias_hh_l1,"(384,)",384,0.006641763728111982,0.05541850998997688,-0.10928205400705338,0.1505654752254486
fc.weight,"(2, 128)",256,-0.0026760403998196125,0.059636812657117844,-0.10756658762693405,0.10965616255998611
fc.bias,"(2,)",2,-0.04494853317737579,0.01775464415550232,-0.06270317733287811,-0.027193890884518623
