layer,shape,num_params,mean,std,min,max
lstm.weight_ih_l0,"(128, 1)",128,-0.013940212316811085,0.16009049117565155,-0.30170759558677673,0.3082323670387268
lstm.weight_hh_l0,"(128, 32)",4096,-0.0021653331350535154,0.12705475091934204,-0.33475199341773987,0.3266715407371521
lstm.bias_ih_l0,"(128,)",128,0.03782818466424942,0.1121886819601059,-0.17203333973884583,0.27179333567619324
lstm.bias_hh_l0,"(128,)",128,0.04091198742389679,0.10025347024202347,-0.17872658371925354,0.2692844271659851
fc.weight,"(2, 32)",64,0.012235847301781178,0.18178705871105194,-0.31054872274398804,0.2914172410964966
fc.bias,"(2,)",2,-0.04691699519753456,0.09164488315582275,-0.13856187462806702,0.044727884232997894
