layer,shape,num_params,mean,std,min,max
lstm.weight_ih_l0,"(256, 1)",256,-0.006101583130657673,0.10702931880950928,-0.21038027107715607,0.2319297194480896
lstm.weight_hh_l0,"(256, 64)",16384,0.001563752070069313,0.08000451326370239,-0.23635919392108917,0.23257263004779816
lstm.bias_ih_l0,"(256,)",256,0.013652725145220757,0.0767400935292244,-0.13870106637477875,0.15227752923965454
lstm.bias_hh_l0,"(256,)",256,0.012406401336193085,0.07031235098838806,-0.13081786036491394,0.14778859913349152
lstm.weight_ih_l1,"(256, 64)",16384,0.0015511189121752977,0.08426255732774734,-0.26111045479774475,0.26302966475486755
lstm.weight_hh_l1,"(256, 64)",16384,-7.013324648141861e-05,0.07991614937782288,-0.22548532485961914,0.2598983347415924
lstm.bias_ih_l1,"(256,)",256,0.01063686516135931,0.07100223004817963,-0.12266760319471359,0.1534327268600464
lstm.bias_hh_l1,"(256,)",256,0.01617075502872467,0.07491423189640045,-0.1394909769296646,0.2119463086128235
fc.weight,"(2, 64)",128,0.006915595382452011,0.10711180418729782,-0.1896338313817978,0.18718412518501282
fc.bias,"(2,)",2,-0.003024965524673462,0.06606773287057877,-0.06909269839525223,0.0630427673459053
