layer,shape,num_params,mean,std,min,max
rnn.weight_ih_l0,"(64, 1)",64,0.01682141423225403,0.0960845872759819,-0.17035053670406342,0.19531230628490448
rnn.weight_hh_l0,"(64, 64)",4096,0.0019240486435592175,0.0753106027841568,-0.18139520287513733,0.15868234634399414
rnn.bias_ih_l0,"(64,)",64,0.002147657796740532,0.06561549752950668,-0.11797097325325012,0.11046260595321655
rnn.bias_hh_l0,"(64,)",64,0.00696189422160387,0.0665837749838829,-0.12240872532129288,0.11672720313072205
rnn.weight_ih_l1,"(64, 64)",4096,-0.0025450228713452816,0.07721053808927536,-0.20650844275951385,0.1992885321378708
rnn.weight_hh_l1,"(64, 64)",4096,-0.0003559025935828686,0.07847245782613754,-0.22172263264656067,0.20416487753391266
rnn.bias_ih_l1,"(64,)",64,0.0030835627112537622,0.07056388258934021,-0.14000608026981354,0.13844525814056396
rnn.bias_hh_l1,"(64,)",64,-0.009459295310080051,0.07848610728979111,-0.15422293543815613,0.12370236217975616
fc.weight,"(2, 64)",128,0.0016190519090741873,0.09369578212499619,-0.16919107735157013,0.1637406349182129
fc.bias,"(2,)",2,0.07541173696517944,0.002422485500574112,0.07298925518989563,0.07783422619104385
