layer,shape,num_params,mean,std,min,max
gru.weight_ih_l0,"(384, 1)",384,0.0006907128845341504,0.07114585489034653,-0.14058427512645721,0.14614664018154144
gru.weight_hh_l0,"(384, 128)",49152,-0.0005959520931355655,0.056995801627635956,-0.23956763744354248,0.20417356491088867
gru.bias_ih_l0,"(384,)",384,0.009426767937839031,0.052350230515003204,-0.09161841124296188,0.14912135899066925
gru.bias_hh_l0,"(384,)",384,0.008753902278840542,0.05372736603021622,-0.11812292784452438,0.1259373426437378
fc.weight,"(2, 128)",256,0.004844481125473976,0.07271555066108704,-0.13399410247802734,0.1354549080133438
fc.bias,"(2,)",2,0.06200501322746277,0.009973572567105293,0.052031438797712326,0.07197858393192291
