layer,shape,num_params,mean,std,min,max
rnn.weight_ih_l0,"(32, 1)",32,-0.004614192061126232,0.12921461462974548,-0.22137272357940674,0.22024644911289215
rnn.weight_hh_l0,"(32, 32)",1024,0.005079035181552172,0.11100930720567703,-0.2578097879886627,0.2604764997959137
rnn.bias_ih_l0,"(32,)",32,0.0019171223975718021,0.08979269862174988,-0.17913980782032013,0.1513088494539261
rnn.bias_hh_l0,"(32,)",32,-0.0037552518770098686,0.1006028950214386,-0.1663585603237152,0.19217714667320251
fc.weight,"(2, 32)",64,0.02322958968579769,0.15334944427013397,-0.24741213023662567,0.25820496678352356
fc.bias,"(2,)",2,0.08927959203720093,0.022001903504133224,0.067277692258358,0.11128149926662445
