layer,shape,num_params,mean,std,min,max
gru.weight_ih_l0,"(96, 1)",96,0.00973360426723957,0.12868846952915192,-0.23356658220291138,0.2348397672176361
gru.weight_hh_l0,"(96, 32)",3072,-8.996878750622272e-05,0.11131098866462708,-0.28226321935653687,0.3070867657661438
gru.bias_ih_l0,"(96,)",96,0.011854007840156555,0.10194694250822067,-0.17656859755516052,0.2181110382080078
gru.bias_hh_l0,"(96,)",96,0.009103696793317795,0.09233593195676804,-0.16553710401058197,0.2331211119890213
gru.weight_ih_l1,"(96, 32)",3072,-0.0020180142018944025,0.11030547320842743,-0.24174131453037262,0.2546714246273041
gru.weight_hh_l1,"(96, 32)",3072,0.00034686349681578577,0.10880785435438156,-0.23404942452907562,0.23671914637088776
gru.bias_ih_l1,"(96,)",96,-0.02533482015132904,0.09766942262649536,-0.20567382872104645,0.19665561616420746
gru.bias_hh_l1,"(96,)",96,0.024318689480423927,0.11042121797800064,-0.19312505424022675,0.20689822733402252
fc.weight,"(2, 32)",64,0.009256293997168541,0.14515824615955353,-0.23863853514194489,0.2424428015947342
fc.bias,"(2,)",2,0.004486069083213806,0.1443851739168167,-0.1398991048336029,0.14887124300003052
