layer,shape,num_params,mean,std,min,max
lstm.weight_ih_l0,"(256, 1)",256,0.006598968990147114,0.11248105019330978,-0.2296105921268463,0.22426114976406097
lstm.weight_hh_l0,"(256, 64)",16384,0.004497528076171875,0.08406785875558853,-0.21192961931228638,0.22582626342773438
lstm.bias_ih_l0,"(256,)",256,0.024181906133890152,0.07387910038232803,-0.12859871983528137,0.2170209139585495
lstm.bias_hh_l0,"(256,)",256,0.022289911285042763,0.08128713816404343,-0.13338355720043182,0.18231110274791718
fc.weight,"(2, 64)",128,0.006383204832673073,0.11691567301750183,-0.19454245269298553,0.19998672604560852
fc.bias,"(2,)",2,0.002539709210395813,0.02442377246916294,-0.021884063258767128,0.026963481679558754
