layer,shape,num_params,mean,std,min,max
rnn.weight_ih_l0,"(64, 1)",64,0.01605905033648014,0.09910537302494049,-0.1509542465209961,0.17081139981746674
rnn.weight_hh_l0,"(64, 64)",4096,-0.0009092377149499953,0.07809201627969742,-0.2383234053850174,0.211380735039711
rnn.bias_ih_l0,"(64,)",64,0.00876537337899208,0.06209586560726166,-0.109782874584198,0.12420962005853653
rnn.bias_hh_l0,"(64,)",64,0.0026029273867607117,0.0629568099975586,-0.11572347581386566,0.11822278797626495
fc.weight,"(2, 64)",128,-0.0018224441446363926,0.10912664979696274,-0.19743850827217102,0.20680874586105347
fc.bias,"(2,)",2,0.028796372935175896,0.027809251099824905,0.0009871216025203466,0.05660562589764595
