layer,shape,num_params,mean,std,min,max
gru.weight_ih_l0,"(192, 1)",192,-0.006384949665516615,0.09976851940155029,-0.18500834703445435,0.21630406379699707
gru.weight_hh_l0,"(192, 64)",12288,0.0016783444443717599,0.0849076434969902,-0.26609525084495544,0.2618879973888397
gru.bias_ih_l0,"(192,)",192,0.022809483110904694,0.07510929554700851,-0.13473010063171387,0.17443017661571503
gru.bias_hh_l0,"(192,)",192,0.015375933609902859,0.07635639607906342,-0.12270403653383255,0.18700310587882996
fc.weight,"(2, 64)",128,-0.004357186146080494,0.11258567869663239,-0.19926021993160248,0.193254292011261
fc.bias,"(2,)",2,0.09355002641677856,0.026911873370409012,0.06663815677165985,0.12046190351247787
