layer,shape,num_params,mean,std,min,max
rnn.weight_ih_l0,"(128, 1)",128,-0.0016196205979213119,0.08105412125587463,-0.1385120302438736,0.14672613143920898
rnn.weight_hh_l0,"(128, 128)",16384,-0.00020720335305668414,0.052048515528440475,-0.14250248670578003,0.12348469346761703
rnn.bias_ih_l0,"(128,)",128,0.0032741446048021317,0.05012325569987297,-0.08459217846393585,0.08673251420259476
rnn.bias_hh_l0,"(128,)",128,0.003230840200558305,0.04920071363449097,-0.08630863577127457,0.08932185918092728
fc.weight,"(2, 128)",256,3.2776733860373497e-06,0.07125766575336456,-0.13170115649700165,0.1287519782781601
fc.bias,"(2,)",2,-0.029790721833705902,0.022782934829592705,-0.052573658525943756,-0.007007787004113197
