layer,shape,num_params,mean,std,min,max
lstm.weight_ih_l0,"(512, 1)",512,0.0038313965778797865,0.08388640731573105,-0.1908581554889679,0.20495648682117462
lstm.weight_hh_l0,"(512, 128)",65536,-0.00018631425336934626,0.057454850524663925,-0.16456687450408936,0.15726232528686523
lstm.bias_ih_l0,"(512,)",512,0.006039043888449669,0.05565697327256203,-0.11047427356243134,0.11816728860139847
lstm.bias_hh_l0,"(512,)",512,0.008234244771301746,0.052201539278030396,-0.105610691010952,0.1159372627735138
fc.weight,"(2, 128)",256,0.0025747413747012615,0.08129346370697021,-0.14511843025684357,0.1484268605709076
fc.bias,"(2,)",2,-0.04734177142381668,0.03993244841694832,-0.0872742235660553,-0.007409322075545788
