layer,shape,num_params,mean,std,min,max
rnn.weight_ih_l0,"(128, 1)",128,0.0011141044087707996,0.07055292278528214,-0.12087401747703552,0.13853253424167633
rnn.weight_hh_l0,"(128, 128)",16384,0.00033620704198256135,0.05198770761489868,-0.11654575169086456,0.12174229323863983
rnn.bias_ih_l0,"(128,)",128,-0.0038670890498906374,0.04696798697113991,-0.09296481311321259,0.085853710770607
rnn.bias_hh_l0,"(128,)",128,0.00012445353786461055,0.04606059938669205,-0.08171598613262177,0.08575325459241867
rnn.weight_ih_l1,"(128, 128)",16384,1.2219810741953552e-05,0.053448937833309174,-0.1344766616821289,0.13267186284065247
rnn.weight_hh_l1,"(128, 128)",16384,0.00028719083638861775,0.05197637528181076,-0.13160456717014313,0.13125573098659515
rnn.bias_ih_l1,"(128,)",128,0.0032735117711126804,0.04529842734336853,-0.09332557022571564,0.09013832360506058
rnn.bias_hh_l1,"(128,)",128,0.008715075440704823,0.04719160869717598,-0.09196560829877853,0.09718327224254608
fc.weight,"(2, 128)",256,0.0025248746387660503,0.056597258895635605,-0.10033933073282242,0.103154756128788
fc.bias,"(2,)",2,0.04086821898818016,0.017698610201478004,0.023169608786702156,0.058566831052303314
