layer,shape,num_params,mean,std,min,max
lstm.weight_ih_l0,"(512, 1)",512,0.002942843595519662,0.07877223938703537,-0.17599621415138245,0.1882975697517395
lstm.weight_hh_l0,"(512, 128)",65536,-0.0001808951928978786,0.058504629880189896,-0.23774324357509613,0.22470679879188538
lstm.bias_ih_l0,"(512,)",512,0.005901815369725227,0.05214257165789604,-0.10072218626737595,0.11157155781984329
lstm.bias_hh_l0,"(512,)",512,0.007761549204587936,0.05341329425573349,-0.09494093060493469,0.13777288794517517
lstm.weight_ih_l1,"(512, 128)",65536,2.6446774427313358e-05,0.05842166021466255,-0.20705658197402954,0.20930097997188568
lstm.weight_hh_l1,"(512, 128)",65536,0.00046020359150134027,0.05464545637369156,-0.20756633579730988,0.2258598357439041
lstm.bias_ih_l1,"(512,)",512,0.004759070463478565,0.051153138279914856,-0.09803254157304764,0.17386506497859955
lstm.bias_hh_l1,"(512,)",512,0.007069554179906845,0.05314388871192932,-0.09912233054637909,0.19688329100608826
fc.weight,"(2, 128)",256,-0.0012588221579790115,0.0710265189409256,-0.12311246246099472,0.1269034892320633
fc.bias,"(2,)",2,0.016411975026130676,0.05489864945411682,-0.038486674427986145,0.0713106244802475
