Model,Description,Parameters,Test Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Final Train Loss,Final Test Loss,Best Epoch
LayerNorm,Layer Normalization,12898,0.9032258064516129,0.9288172043010753,0.9032258064516129,0.9110421836228288,0.9398148148148149,0.9917240915545847,0.2217607358470559,0.37829021736979485,11
Standard (128-64-32),Standard 3-layer MLP,12898,0.8870967741935484,0.9173387096774194,0.8709677419354839,0.8847679834397101,0.9537037037037037,0.9935245332071533,0.2430929485708475,0.31680573523044586,23
Simple (64-32),Simple 2-layer,3362,0.8870967741935484,0.9173387096774194,0.8709677419354839,0.8847679834397101,0.9537037037037037,0.9936330810205033,0.2020813301205635,0.2608884200453758,16
Minimal (32),Minimal 1-layer,642,0.8870967741935484,0.9173387096774194,0.8709677419354839,0.8847679834397101,0.9560185185185185,0.9937614399330809,0.21011702809482813,0.2890571504831314,24
ELU Activation,Standard with ELU,12898,0.8709677419354839,0.9354838709677419,0.8709677419354839,0.8873118279569893,0.9560185185185185,0.9938008662020154,0.18999559246003628,0.2698683515191078,28
Residual,Residual connections,44098,0.8709677419354839,0.8899769585253456,0.8387096774193549,0.8559599792996376,0.8333333333333334,0.946790695226281,0.08807832607999444,0.7503601461648941,6
Deep (5 layers),Deep 5-layer MLP,18434,0.8548387096774194,0.9316888045540798,0.8548387096774194,0.8743695014662756,0.9560185185185185,0.9938735232806334,0.28625372238457203,0.26329830288887024,31
