Model,Parameters,Test Accuracy (mean),Test Accuracy (std),ROC-AUC (mean),ROC-AUC (std)
LSTM 2L (hidden=32),12994,0.975925925925926,0.018610880779853522,0.992729766803841,0.005522859297447855
LSTM (hidden=32),4546,0.975925925925926,0.018610880779853522,0.9931412894375857,0.006434040822803073
LSTM 2L (hidden=128),199426,0.9740740740740741,0.01697250257391054,0.9909465020576131,0.007932418268752225
LSTM (hidden=128),67330,0.9740740740740741,0.01697250257391054,0.9920438957475994,0.007253390434239949
GRU (hidden=128),50562,0.9740740740740741,0.01697250257391054,0.9917695473251029,0.006434040822803059
RNN (hidden=64),4418,0.9740740740740741,0.02371527495345501,0.9903978052126201,0.008411363356244666
LSTM 2L (hidden=64),50562,0.9722222222222223,0.017073230476468332,0.9927297668038408,0.005624142661179721
RNN 2L (hidden=128),50050,0.9722222222222221,0.018975834751777054,0.9894375857338819,0.007857340736142474
RNN (hidden=32),1186,0.9722222222222221,0.018975834751777054,0.9866941015089165,0.012331191011231354
GRU (hidden=64),12994,0.9722222222222221,0.018975834751777054,0.9917695473251029,0.007563264061503551
LSTM (hidden=64),17282,0.9703703703703704,0.01481481481481484,0.9930041152263375,0.005670789193030038
GRU 2L (hidden=32),9762,0.9703703703703704,0.01481481481481484,0.9897119341563785,0.00920703659508905
GRU 2L (hidden=64),37954,0.9703703703703704,0.01697250257391054,0.9899862825788752,0.008805900601209343
GRU 2L (hidden=128),149634,0.9703703703703704,0.018885257457751076,0.9894375857338821,0.00802322568773101
RNN 2L (hidden=64),12738,0.9685185185185186,0.02349736581564727,0.988477366255144,0.009307651826440238
GRU (hidden=32),3426,0.9685185185185186,0.016666666666666687,0.9901234567901234,0.009420183656180772
RNN (hidden=128),17026,0.9666666666666666,0.021596118129056683,0.9902606310013716,0.00837661708684336
RNN 2L (hidden=32),3298,0.9666666666666666,0.02456759103966964,0.9886145404663923,0.008763059672803542
